# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Hepatitis-B.txt 2015-01-18 22:49:12.112631
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Hepatitis-B
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Hepatitis-B--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Hepatitis-B--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-122	454.6	454.6
hsa-mir-125a	937.0	937.0
hsa-mir-200b	910.0	910.0
hsa-mir-200a	910.0	910.0
hsa-mir-18b	535.7	535.7
hsa-mir-602	15.7	15.7
hsa-mir-141	910.0	910.0
hsa-mir-106a	535.7	535.7
hsa-mir-106b	535.7	535.7
hsa-mir-15a	535.7	535.7
hsa-mir-29a	910.0	910.0
hsa-let-7c	910.0	910.0
hsa-mir-18a	535.7	535.7
hsa-mir-338	454.6	454.6
hsa-mir-132	535.7	535.7
hsa-mir-150	454.6	454.6
hsa-mir-501	97.4	97.4
hsa-mir-373	29.6	29.6
hsa-mir-372	97.4	97.4
hsa-mir-181a-1	535.7	535.7
hsa-mir-101-1	454.6	454.6
hsa-mir-200c	910.0	910.0
hsa-mir-221	535.7	535.7
hsa-mir-25	910.0	910.0
hsa-mir-181b-1	535.7	535.7
hsa-mir-1-1	910.0	910.0
hsa-mir-1-2	910.0	910.0
hsa-mir-583	29.6	29.6
hsa-mir-101-2	454.6	454.6
hsa-mir-181b-2	535.7	535.7
hsa-mir-23b	535.7	535.7
hsa-mir-146a	535.7	535.7
