# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Cholangiocarcinoma.txt 2015-01-18 22:41:57.667330
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Cholangiocarcinoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Cholangiocarcinoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Cholangiocarcinoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-126	797.0	797.0
hsa-mir-200b	910.0	910.0
hsa-mir-141	910.0	910.0
hsa-mir-494	97.4	97.4
hsa-mir-26a-2	535.7	535.7
hsa-mir-26a-1	535.7	535.7
hsa-mir-124-2	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-370	97.4	97.4
hsa-mir-373	29.6	29.6
hsa-mir-214	454.6	454.6
hsa-mir-200c	910.0	910.0
hsa-mir-25	910.0	910.0
hsa-mir-124-1	910.0	910.0
