# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Aortic-Aneurysm,-Thoracic.txt 2015-01-18 21:08:27.098719
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Aortic-Aneurysm,-Thoracic
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Aortic-Aneurysm,-Thoracic--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Aortic-Aneurysm,-Thoracic--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-30a	535.7	535.7
hsa-mir-30b	535.7	535.7
hsa-mir-30d	535.7	535.7
hsa-mir-30e	535.7	535.7
hsa-mir-29b-2	910.0	910.0
hsa-mir-29c	910.0	910.0
hsa-mir-29a	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-30c-2	535.7	535.7
hsa-mir-30c-1	535.7	535.7
hsa-mir-29b-1	910.0	910.0
hsa-mir-1-1	910.0	910.0
hsa-mir-1-2	910.0	910.0
hsa-mir-133a-1	910.0	910.0
hsa-mir-133a-2	910.0	910.0
