# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Infertility,-Male.txt 2015-01-18 22:50:13.379363
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Infertility,-Male
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Infertility,-Male--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Infertility,-Male--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-122	454.6	454.6
hsa-mir-509-2	97.4	97.4
hsa-mir-509-3	97.4	97.4
hsa-mir-509-1	97.4	97.4
hsa-mir-1302-7	97.4	97.4
hsa-mir-1302-3	97.4	97.4
hsa-mir-34c	910.0	910.0
hsa-mir-146b	535.7	535.7
hsa-mir-181a-1	535.7	535.7
hsa-mir-513a-2	97.4	97.4
hsa-mir-374b	97.4	97.4
hsa-mir-513a-1	97.4	97.4
hsa-mir-1302-4	97.4	97.4
hsa-mir-1302-2	97.4	97.4
hsa-mir-1302-1	97.4	97.4
hsa-mir-1302-8	97.4	97.4
hsa-mir-1302-6	97.4	97.4
