# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Prolactinoma.txt 2015-01-18 22:59:12.824408
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Prolactinoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Prolactinoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Prolactinoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-671	97.4	97.4
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-mir-200b	910.0	910.0
hsa-mir-342	97.4	97.4
hsa-mir-516b-1	29.6	29.6
hsa-mir-206	910.0	910.0
hsa-mir-493	97.4	97.4
hsa-mir-550a-2	29.6	29.6
hsa-mir-550a-1	29.6	29.6
hsa-mir-130a	535.7	535.7
hsa-mir-199b	535.7	535.7
hsa-mir-516b-2	29.6	29.6
hsa-mir-23b	535.7	535.7
hsa-mir-432	97.4	97.4
