# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Mouth-Neoplasms.txt 2015-01-18 21:21:49.279131
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Mouth-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Mouth-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Mouth-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-7-2	910.0	910.0
hsa-mir-126	797.0	797.0
hsa-mir-127	97.4	97.4
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-mir-200a	910.0	910.0
hsa-mir-30b	535.7	535.7
hsa-mir-99a	937.0	937.0
hsa-mir-141	910.0	910.0
hsa-mir-205	535.7	535.7
hsa-mir-29c	910.0	910.0
hsa-mir-29a	910.0	910.0
hsa-let-7b	910.0	910.0
hsa-mir-137	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-370	97.4	97.4
hsa-mir-375	910.0	910.0
hsa-mir-10b	937.0	937.0
hsa-mir-596	15.7	15.7
hsa-mir-196a-2	535.7	535.7
hsa-mir-7-3	910.0	910.0
hsa-mir-7-1	910.0	910.0
hsa-mir-200c	910.0	910.0
hsa-mir-140	454.6	454.6
hsa-mir-31	910.0	910.0
hsa-mir-27b	535.7	535.7
hsa-mir-196a-1	535.7	535.7
