# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Hepatitis,-Chronic.txt 2015-01-18 22:49:04.300687
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Hepatitis,-Chronic
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Hepatitis,-Chronic--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Hepatitis,-Chronic--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-126	797.0	797.0
hsa-mir-376c	97.4	97.4
hsa-mir-145	535.7	535.7
hsa-mir-342	97.4	97.4
hsa-mir-15b	535.7	535.7
hsa-mir-182	910.0	910.0
hsa-mir-372	97.4	97.4
hsa-mir-28	176.1	176.1
hsa-mir-143	535.7	535.7
hsa-mir-224	97.4	97.4
hsa-mir-199b	535.7	535.7
hsa-mir-199a-1	535.7	535.7
hsa-mir-199a-2	535.7	535.7
