# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Myocytes,-Cardiac.txt 2015-01-18 21:22:51.005408
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Myocytes,-Cardiac
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Myocytes,-Cardiac--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Myocytes,-Cardiac--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-126	797.0	797.0
hsa-mir-195	535.7	535.7
hsa-mir-188	97.4	97.4
hsa-mir-133b	910.0	910.0
hsa-mir-21	454.6	454.6
hsa-mir-9-1	910.0	910.0
hsa-mir-9-3	910.0	910.0
hsa-mir-133a-1	910.0	910.0
hsa-mir-133a-2	910.0	910.0
hsa-mir-199a-1	535.7	535.7
hsa-mir-199a-2	535.7	535.7
hsa-mir-9-2	910.0	910.0
