# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Cardiomyopathy,-Hypertrophic.txt 2015-01-18 21:11:09.637778
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Cardiomyopathy,-Hypertrophic
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Cardiomyopathy,-Hypertrophic--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Cardiomyopathy,-Hypertrophic--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-mir-195	535.7	535.7
hsa-mir-208a	454.6	454.6
hsa-mir-24-1	535.7	535.7
hsa-mir-150	454.6	454.6
hsa-mir-21	454.6	454.6
hsa-mir-214	454.6	454.6
hsa-mir-9-1	910.0	910.0
hsa-mir-9-3	910.0	910.0
hsa-mir-181b-1	535.7	535.7
hsa-mir-1-1	910.0	910.0
hsa-mir-1-2	910.0	910.0
hsa-mir-27b	535.7	535.7
hsa-mir-133a-1	910.0	910.0
hsa-mir-133a-2	910.0	910.0
hsa-mir-181b-2	535.7	535.7
hsa-mir-23a	535.7	535.7
hsa-mir-23b	535.7	535.7
hsa-mir-199a-1	535.7	535.7
hsa-mir-199a-2	535.7	535.7
hsa-mir-9-2	910.0	910.0
