# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Atrial-Fibrillation.txt 2015-01-18 22:38:36.928481
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Atrial-Fibrillation
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Atrial-Fibrillation--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Atrial-Fibrillation--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-19a	535.7	535.7
hsa-mir-30a	535.7	535.7
hsa-mir-30b	535.7	535.7
hsa-mir-30d	535.7	535.7
hsa-mir-193b	910.0	910.0
hsa-mir-193a	910.0	910.0
hsa-mir-519b	29.6	29.6
hsa-mir-328	97.4	97.4
hsa-mir-133b	910.0	910.0
hsa-mir-155	454.6	454.6
hsa-mir-30c-2	535.7	535.7
hsa-mir-30c-1	535.7	535.7
hsa-mir-146b	535.7	535.7
hsa-mir-223	454.6	454.6
hsa-mir-19b-2	535.7	535.7
hsa-mir-19b-1	535.7	535.7
hsa-mir-133a-1	910.0	910.0
hsa-mir-133a-2	910.0	910.0
hsa-mir-142	454.6	454.6
