# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Coronary-Artery-Disease.txt 2015-01-18 21:12:57.389120
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Coronary-Artery-Disease
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Coronary-Artery-Disease--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Coronary-Artery-Disease--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-122	454.6	454.6
hsa-mir-126	797.0	797.0
hsa-mir-198	44.2	44.2
hsa-mir-34a	910.0	910.0
hsa-mir-340	97.4	97.4
hsa-mir-21	454.6	454.6
hsa-mir-370	97.4	97.4
hsa-mir-181a-1	535.7	535.7
hsa-mir-92a-2	910.0	910.0
hsa-mir-624	29.6	29.6
hsa-mir-196a-2	535.7	535.7
hsa-mir-92a-1	910.0	910.0
hsa-mir-222	535.7	535.7
hsa-mir-221	535.7	535.7
hsa-mir-1-1	910.0	910.0
hsa-mir-1-2	910.0	910.0
hsa-mir-134	97.4	97.4
hsa-mir-130a	535.7	535.7
