# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Ischemia.txt 2015-01-18 22:50:53.913516
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Ischemia
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Ischemia--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Ischemia--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-126	797.0	797.0
hsa-mir-320a	97.4	97.4
hsa-mir-30b	535.7	535.7
hsa-mir-29b-2	910.0	910.0
hsa-mir-15a	535.7	535.7
hsa-mir-494	97.4	97.4
hsa-mir-155	454.6	454.6
hsa-mir-21	454.6	454.6
hsa-mir-181a-1	535.7	535.7
hsa-mir-210	910.0	910.0
hsa-mir-29b-1	910.0	910.0
hsa-mir-23a	535.7	535.7
