# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma.txt 2015-01-18 21:26:03.211834
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Precursor-Cell-Lymphoblastic-Leukemia-Lymphoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-126	797.0	797.0
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-mir-99a	937.0	937.0
hsa-mir-29b-2	910.0	910.0
hsa-mir-17	535.7	535.7
hsa-mir-34a	910.0	910.0
hsa-mir-29c	910.0	910.0
hsa-mir-29a	910.0	910.0
hsa-mir-182	910.0	910.0
hsa-let-7b	910.0	910.0
hsa-mir-181a-1	535.7	535.7
hsa-mir-100	937.0	937.0
hsa-mir-196b	535.7	535.7
hsa-mir-29b-1	910.0	910.0
hsa-mir-143	535.7	535.7
hsa-mir-223	454.6	454.6
hsa-mir-221	535.7	535.7
hsa-mir-181c	535.7	535.7
hsa-mir-181b-1	535.7	535.7
hsa-mir-128-2	535.7	535.7
hsa-mir-708	97.4	97.4
hsa-mir-146a	535.7	535.7
