# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Myotonic-Dystrophy.txt 2015-01-18 22:56:14.454139
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Myotonic-Dystrophy
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Myotonic-Dystrophy--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Myotonic-Dystrophy--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-mir-29b-2	910.0	910.0
hsa-mir-193b	910.0	910.0
hsa-mir-193a	910.0	910.0
hsa-mir-208a	454.6	454.6
hsa-mir-34a	910.0	910.0
hsa-mir-34b	910.0	910.0
hsa-mir-34c	910.0	910.0
hsa-mir-206	910.0	910.0
hsa-mir-29c	910.0	910.0
hsa-mir-381	97.4	97.4
hsa-mir-335	97.4	97.4
hsa-mir-33a	910.0	910.0
hsa-mir-33b	910.0	910.0
hsa-mir-146b	535.7	535.7
hsa-mir-107	535.7	535.7
hsa-mir-29b-1	910.0	910.0
hsa-mir-221	535.7	535.7
hsa-mir-1-1	910.0	910.0
hsa-mir-1-2	910.0	910.0
