# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Stomach-Neoplasms.txt 2015-01-18 23:01:40.950936
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Stomach-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Stomach-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Stomach-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-7-2	910.0	910.0
hsa-mir-122	454.6	454.6
hsa-mir-126	797.0	797.0
hsa-mir-127	97.4	97.4
hsa-mir-19a	535.7	535.7
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-let-7f-2	910.0	910.0
hsa-mir-520a	29.6	29.6
hsa-mir-520c	29.6	29.6
hsa-mir-520d	29.6	29.6
hsa-mir-125a	937.0	937.0
hsa-mir-409	97.4	97.4
hsa-mir-195	535.7	535.7
hsa-mir-191	361.2	361.2
hsa-mir-192	535.7	535.7
hsa-mir-320a	97.4	97.4
hsa-mir-200b	910.0	910.0
hsa-mir-135a-2	797.0	797.0
hsa-mir-135a-1	797.0	797.0
hsa-mir-200a	910.0	910.0
hsa-mir-30b	535.7	535.7
hsa-mir-193b	910.0	910.0
hsa-mir-129-1	797.0	797.0
hsa-mir-18b	535.7	535.7
hsa-mir-17	535.7	535.7
hsa-mir-605	29.6	29.6
hsa-mir-376c	97.4	97.4
hsa-mir-601	29.6	29.6
hsa-mir-526a-2	29.6	29.6
hsa-mir-145	535.7	535.7
hsa-mir-141	910.0	910.0
hsa-mir-16-2	535.7	535.7
hsa-mir-34a	910.0	910.0
hsa-mir-34b	910.0	910.0
hsa-mir-34c	910.0	910.0
hsa-mir-340	97.4	97.4
hsa-mir-342	97.4	97.4
hsa-mir-106a	535.7	535.7
hsa-mir-106b	535.7	535.7
hsa-mir-24-1	535.7	535.7
hsa-mir-519e	29.6	29.6
hsa-mir-519c	29.6	29.6
hsa-mir-516b-1	29.6	29.6
hsa-mir-204	535.7	535.7
hsa-mir-206	910.0	910.0
hsa-mir-328	97.4	97.4
hsa-mir-551a	535.7	535.7
hsa-mir-29c	910.0	910.0
hsa-mir-29a	910.0	910.0
hsa-mir-640	29.6	29.6
hsa-mir-296	97.4	97.4
hsa-mir-494	97.4	97.4
hsa-mir-495	97.4	97.4
hsa-mir-194-1	535.7	535.7
hsa-mir-194-2	535.7	535.7
hsa-mir-938	29.6	29.6
hsa-mir-182	910.0	910.0
hsa-mir-183	842.0	842.0
hsa-mir-186	220.2	220.2
hsa-mir-187	454.6	454.6
hsa-mir-184	910.0	910.0
hsa-mir-185	97.4	97.4
hsa-mir-124-2	910.0	910.0
hsa-mir-421	97.4	97.4
hsa-mir-518f	29.6	29.6
hsa-let-7g	910.0	910.0
hsa-mir-18a	535.7	535.7
hsa-mir-133b	910.0	910.0
hsa-mir-335	97.4	97.4
hsa-mir-331	97.4	97.4
hsa-mir-302f	361.2	361.2
hsa-mir-132	535.7	535.7
hsa-mir-302c	361.2	361.2
hsa-mir-150	454.6	454.6
hsa-mir-155	454.6	454.6
hsa-mir-20a	535.7	535.7
hsa-mir-137	910.0	910.0
hsa-mir-1228	15.7	15.7
hsa-mir-21	454.6	454.6
hsa-mir-22	842.0	842.0
hsa-mir-517a	29.6	29.6
hsa-mir-212	535.7	535.7
hsa-mir-515-1	29.6	29.6
hsa-mir-515-2	29.6	29.6
hsa-mir-30c-2	535.7	535.7
