# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirnas_in_disease.txt 2015-01-19 01:13:17.581148
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = mirnas_in_disease
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--mirnas_in_disease--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--mirnas_in_disease--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
#protein	age	label
hsa-mir-1322	15.7	15.7
hsa-mir-1323	29.6	29.6
hsa-mir-660	97.4	97.4
hsa-mir-671	97.4	97.4
hsa-mir-7-3	910.0	910.0
hsa-mir-433	97.4	97.4
hsa-mir-320d-1	97.4	97.4
hsa-mir-7-1	910.0	910.0
hsa-mir-122	454.6	454.6
hsa-mir-126	797.0	797.0
hsa-mir-127	97.4	97.4
hsa-mir-19a	535.7	535.7
hsa-mir-1258	6.1	6.1
hsa-mir-125b-1	937.0	937.0
hsa-mir-125b-2	937.0	937.0
hsa-mir-489	454.6	454.6
hsa-mir-488	97.4	97.4
hsa-mir-485	97.4	97.4
hsa-mir-484	97.4	97.4
hsa-mir-431	97.4	97.4
hsa-mir-509-2	97.4	97.4
hsa-mir-509-3	97.4	97.4
hsa-mir-509-1	97.4	97.4
hsa-mir-520a	29.6	29.6
hsa-mir-520c	29.6	29.6
hsa-mir-520b	29.6	29.6
hsa-mir-520e	29.6	29.6
hsa-mir-520g	29.6	29.6
hsa-mir-125a	937.0	937.0
hsa-mir-520h	29.6	29.6
hsa-mir-198	44.2	44.2
hsa-mir-195	535.7	535.7
hsa-mir-197	97.4	97.4
hsa-mir-191	361.2	361.2
hsa-mir-192	535.7	535.7
hsa-mir-548d-2	29.6	29.6
hsa-mir-449a	842.0	842.0
hsa-mir-93	535.7	535.7
hsa-mir-500a	97.4	97.4
hsa-mir-381	97.4	97.4
hsa-mir-200b	910.0	910.0
hsa-mir-135a-2	797.0	797.0
hsa-mir-135a-1	797.0	797.0
hsa-mir-200a	910.0	910.0
hsa-mir-410	97.4	97.4
hsa-mir-411	97.4	97.4
hsa-mir-938	29.6	29.6
hsa-mir-557	29.6	29.6
hsa-mir-552	29.6	29.6
hsa-mir-642a	29.6	29.6
hsa-mir-642b	29.6	29.6
hsa-mir-30a	535.7	535.7
hsa-mir-30b	535.7	535.7
hsa-mir-30d	535.7	535.7
hsa-mir-30e	535.7	535.7
hsa-mir-885	176.1	176.1
hsa-mir-450a-1	97.4	97.4
hsa-mir-2110	6.1	6.1
hsa-mir-663b	29.6	29.6
hsa-mir-29b-1	910.0	910.0
hsa-mir-29b-2	910.0	910.0
hsa-mir-300	97.4	97.4
hsa-mir-382	97.4	97.4
hsa-mir-193b	910.0	910.0
hsa-mir-193a	910.0	910.0
hsa-mir-641	6.1	6.1
hsa-mir-124-3	910.0	910.0
hsa-mir-548b	29.6	29.6
hsa-mir-92a-1	910.0	910.0
